# TStellate_CT2 Optimisation
# Monday 5 November  23:11:24 EST 2012
 
#param.w.x[lsr][ts] = 0.00362462	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.002329	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000116176	[1e-07,0.3]
#param.w.x[tv][ts] = 0.0004617	[1e-07,0.3]
#param.w.x[glg][ts] = 0.000503486	[1e-07,0.3]
#param.ts_gleak = 0.000473644	[5e-05,0.005]
#param.ts_erev = -64.985	[0.03,0.08]
# final error=20.061806
# Time	Error Vec	 Reference Vec (mV)
22.10	-54.432750	-57.627139
22.20	-54.417945	-57.706284
22.30	-54.403140	-57.750730
22.40	-54.388335	-57.781949
22.50	-54.267274	-57.805786
22.60	-54.007342	-57.826516
22.70	-53.747411	-57.846475
22.80	-53.487479	-57.861680
22.90	-53.227547	-57.867297
23.00	-52.967616	-57.857369
23.10	-52.707684	-57.812255
23.20	-52.707413	-57.693355
23.30	-52.936569	-57.389085
23.40	-53.165725	-57.256075
23.50	-53.394881	-57.118145
23.60	-53.624037	-57.092876
23.70	-53.853193	-57.032103
23.80	-54.082349	-57.065360
23.90	-54.311505	-57.374494
24.00	-54.540661	-57.830995
24.10	-54.769817	-58.169859
24.20	-54.998973	-58.366426
24.30	-55.228129	-58.477144
24.40	-55.457285	-58.534751
24.50	-55.399143	-58.547992
24.60	-55.175955	-58.528105
24.70	-54.952767	-58.488107
24.80	-54.729578	-58.439864
24.90	-54.506390	-58.394219
25.00	-54.131686	-58.349431
25.10	-53.558959	-58.307525
25.20	-52.986232	-58.275111
25.30	-52.413504	-58.249243
25.40	-51.840777	-58.221963
25.50	-51.792743	-58.192620
25.60	-52.365702	-58.163678
25.70	-52.938662	-58.135447
25.80	-53.511622	-58.108826
25.90	-53.621238	-58.075003
26.00	-53.408484	-58.032618
26.10	-53.195730	-57.989219
26.20	-52.982975	-57.943496
26.30	-52.770221	-57.893485
26.40	-52.557466	-57.846343
26.50	-52.344712	-57.811110
26.60	-52.487400	-57.789114
26.70	-52.825939	-57.772535
26.80	-53.164478	-57.752486
26.90	-53.503017	-57.728937
27.00	-53.841556	-57.701173
27.10	-54.157949	-57.660021
27.20	-53.828840	-57.595563
27.30	-53.499730	-57.504037
27.40	-53.170621	-57.351038
27.50	-52.841512	-57.023078
27.60	-52.512403	-56.987045
27.70	-51.837729	-56.946072
27.80	-51.125591	-57.206902
27.90	-50.413452	-57.381329
28.00	-49.701313	-57.468432
28.10	-49.004580	-57.480501
28.20	-49.632517	-57.450697
28.30	-50.260453	-57.393860
28.40	-50.888389	-57.299755
28.50	-51.516325	-57.107847
28.60	-52.144262	-56.561552
28.70	-52.772198	-56.345212
28.80	-53.400134	-56.308664
28.90	-54.028070	-56.770895
29.00	-54.656006	-57.239717
29.10	-54.991816	-57.535048
29.20	-54.509419	-57.621876
29.30	-54.027022	-57.586508
29.40	-53.544625	-57.454762
29.50	-53.062228	-57.165615
29.60	-52.680990	-56.855604
29.70	-52.636398	-56.761690
29.80	-52.591806	-57.003751
29.90	-52.547214	-57.454521
30.00	-52.502622	-57.846570
30.10	-52.458030	-58.092049
30.20	-52.413438	-58.198985
30.30	-52.288562	-58.223218
30.40	-51.629265	-58.202858
30.50	-50.969969	-58.154305
30.60	-50.310672	-58.082779
30.70	-49.651376	-57.988459
30.80	-48.992079	-57.879751
30.90	-48.332783	-57.767025
31.00	-49.426736	-57.657744
31.10	-51.858053	-57.554254
31.20	-54.289370	-57.453299
31.30	-54.082829	-57.353011
31.40	-53.644840	-57.253900
31.50	-53.206851	-57.159071
31.60	-52.768862	-57.070938
31.70	-52.330874	-56.988637
31.80	-52.739599	-56.909044
31.90	-53.287276	-56.817641
32.00	-53.834954	-56.682867
32.10	-54.382631	-56.415027
32.20	-54.930308	-55.888954
32.30	-55.418309	-55.710438
32.40	-55.199298	-55.754435
32.50	-54.980286	-56.221180
32.60	-54.761275	-56.663099
32.70	-54.542264	-56.935310
32.80	-54.323252	-57.032260
32.90	-54.104241	-57.031519
33.00	-53.885229	-56.982434
33.10	-53.666218	-56.891389
33.20	-53.686710	-56.729593
33.30	-54.060979	-56.411084
33.40	-54.435248	-56.374152
33.50	-54.809517	-56.343444
33.60	-55.183786	-56.605971
33.70	-55.558055	-56.780503
33.80	-55.577905	-56.877041
33.90	-55.488186	-56.895392
34.00	-55.398466	-56.860300
34.10	-55.308747	-56.791580
34.20	-55.219027	-56.693158
34.30	-55.129307	-56.559034
34.40	-55.039588	-56.382823
34.50	-54.727337	-56.177614
34.60	-54.322330	-55.899217
34.70	-53.917323	-55.901015
34.80	-53.448014	-55.768448
34.90	-52.840881	-55.754224
35.00	-52.233748	-55.385296
35.10	-51.630696	-54.673385
35.20	-51.290834	-53.661295
35.30	-50.950972	-52.400035
35.40	-50.611109	-50.832606
35.50	-50.271247	-48.730452
35.60	-49.931385	-45.436268
35.70	-49.591523	-41.527020
35.80	-49.380004	-36.186339
35.90	-49.740024	-31.746245
36.00	-50.100044	-29.320691
36.10	-50.460064	-29.809321
36.20	-50.820084	-34.595564
36.30	-51.180104	-40.994020
36.40	-51.540124	-48.005864
36.50	-51.900144	-53.191284
36.60	-52.260164	-56.402077
36.70	-52.620184	-58.050694
36.80	-52.830280	-58.675059
36.90	-53.003476	-58.751798
37.00	-53.176672	-58.575764
37.10	-53.349868	-58.301481
37.20	-53.523064	-57.993457
37.30	-53.673616	-57.675738
37.40	-53.775633	-57.339162
37.50	-53.877649	-56.951306
37.60	-53.979666	-56.480707
37.70	-54.081683	-56.012210
37.80	-54.183700	-55.610135
37.90	-54.285717	-55.246162
38.00	-54.356461	-54.882343
38.10	-54.048769	-54.624892
38.20	-53.741077	-54.509367
38.30	-53.433385	-54.430320
38.40	-53.125692	-54.266455
38.50	-52.818000	-54.024376
38.60	-53.161868	-53.707480
38.70	-53.553868	-53.310412
38.80	-53.945868	-52.800979
38.90	-54.337868	-52.053085
39.00	-54.729868	-51.477808
39.10	-54.909979	-50.670961
39.20	-54.537680	-50.054499
39.30	-54.165381	-49.658294
39.40	-53.793081	-49.243060
39.50	-53.420782	-48.518549
39.60	-53.048483	-46.761768
39.70	-52.676184	-45.030874
39.80	-52.731567	-43.726277
39.90	-53.262286	-43.129456
40.00	-53.793005	-43.426519
40.10	-54.323724	-44.140828
40.20	-54.854443	-45.474378
40.30	-55.385162	-46.864362
40.40	-55.305326	-47.774632
40.50	-54.971919	-48.221235
40.60	-54.638512	-48.546820
40.70	-54.305105	-48.666614
40.80	-53.971698	-48.764191
40.90	-53.638291	-48.858620
41.00	-53.304885	-49.169233
41.10	-52.971478	-49.486175
41.20	-52.709868	-49.800573
41.30	-52.826232	-50.295680
41.40	-52.942595	-50.780626
41.50	-53.058959	-51.916466
